year,stage,count,sim
1997,third,15238.280096631537,55
1998,third,9905.517494238866,55
1999,third,105979.68217183303,55
2000,third,30043.082464710842,55
2001,third,51622.65798407924,55
2002,third,38492.79101398721,55
2003,third,12888.565135089653,55
2004,third,5182.8725657552,55
2005,third,23973.66406308846,55
2006,third,42836.09927989432,55
2007,third,51581.98417337643,55
2008,third,63327.54821441711,55
2009,third,40985.6232135315,55
2010,third,31268.164148768097,55
2011,third,39165.75551085193,55
2012,third,29486.465539656278,55
2013,third,231950.59531696228,55
2014,third,16034.77177614289,55
2015,third,5816.442278359814,55
2016,third,5334.266172306327,55
2017,third,18928.034192075804,55
1986,adult,33.12018654706485,55
1987,adult,33.758044042698025,55
1988,adult,30.828366527219544,55
1989,adult,85.17169857675941,55
1990,adult,109.61869185953641,55
1991,adult,434.3955134453439,55
1992,adult,145.62014558577712,55
1993,adult,116.42984900706546,55
1994,adult,720.494758437491,55
1995,adult,2504.312062032173,55
1996,adult,2310.6513433068635,55
1997,adult,1988.537005129816,55
1998,adult,3973.6172900961396,55
1999,adult,14678.25595257373,55
2000,adult,52659.01262586323,55
2001,adult,20847.67395820922,55
2002,adult,36744.179101415815,55
2003,adult,30648.172682928453,55
2004,adult,22878.16644586701,55
2005,adult,14984.186678433965,55
2006,adult,52400.5798237158,55
2007,adult,8730.457247690338,55
2008,adult,31260.304275514995,55
2009,adult,13908.180604714631,55
2010,adult,8250.590748239616,55
2011,adult,7731.503209507884,55
2012,adult,9500.943501924738,55
2013,adult,16754.90749687051,55
2014,adult,4336.81596107179,55
2015,adult,4459.586853005448,55
2016,adult,4695.977233538545,55
2017,adult,1656.5505016995514,55
1986,first,48.98138563828238,56
1987,first,71.78772138843225,56
1988,first,45.81558039683005,56
1989,first,51.50813256052403,56
1990,first,1.2191742380848043,56
1991,first,9.074265961608917,56
1992,first,14.93878688377658,56
1993,first,5.983953594916824,56
1994,first,7.94430592675686,56
1995,first,0.5050008965263766,56
1996,first,1.5562590494302455,56
1997,first,5.81440700721717,56
1998,first,0.6407058136777823,56
1999,first,0.453083762180095,56
2000,first,0.024799633703722363,56
2001,first,2.319464844115348,56
2002,first,0.10984942200569799,56
2003,first,1.8872898018952682,56
2004,first,0.47490895185485826,56
2005,first,1.1195699133571633,56
2006,first,0.5837346199962508,56
2007,first,1.4051276804857342,56
2008,first,0.6030124047710526,56
2009,first,0.871320230723923,56
2010,first,1.5350488357477359,56
2011,first,1.3408787560320385,56
2012,first,0.6691721475916728,56
2013,first,5.090633444485885,56
2014,first,10.647314012088895,56
2015,first,3.705870451626126,56
2016,first,15.573745302213297,56
2017,first,18.13488351826288,56
1986,second,59.207329792883286,56
1987,second,59.47025476941887,56
1988,second,78.89557939832383,56
1989,second,42.02961454566324,56
1990,second,15.275464883270997,56
1991,second,3.729759224774929,56
1992,second,5.076265221195219,56
1993,second,3.8002681081391745,56
1994,second,8.82586590030005,56
1995,second,6.00835770269018,56
1996,second,0.45818988665391114,56
1997,second,0.91724573465564,56
1998,second,3.416205836637834,56
1999,second,0.29979469441376266,56
2000,second,0.494460826478718,56
2001,second,0.08722696460216155,56
2002,second,1.1194569163434558,56
2003,second,0.15053369297990635,56
2004,second,0.9301722932967195,56
2005,second,0.2163866856600224,56
2006,second,2.098693570986901,56
2007,second,3.380530237249622,56
2008,second,2.166716989405778,56
2009,second,0.9626739415958389,56
2010,second,1.451465187875297,56
2011,second,3.6100676399034772,56
2012,second,1.8878124114584425,56
2013,second,0.9358607045555869,56
2014,second,5.430814558701448,56
2015,second,4.8790889372601765,56
2016,second,5.235978127163229,56
2017,second,2.443355655065495,56
1986,third,29.763756273451857,56
1987,third,8.907725368887707,56
1988,third,41.396328514612044,56
1989,third,147.17855109131338,56
1990,third,46.01505414709956,56
1991,third,34.318029779869036,56
1992,third,0.7171436205142301,56
1993,third,0.7613019149189557,56
1994,third,3.0388101557010283,56
1995,third,7.313554925203386,56
1996,third,9.710873965257795,56
1997,third,0.31587579261994575,56
1998,third,1.066986170944811,56
1999,third,7.665068462766344,56
2000,third,0.19467308350038703,56
2001,third,0.2704337334345969,56
2002,third,0.06953259256487641,56
2003,third,0.9276143549589299,56
2004,third,0.2706810514507613,56
2005,third,1.3355078687604252,56
2006,third,0.24827974455084986,56
2007,third,10.528418649360477,56
2008,third,5.1520640812636795,56
2009,third,1.9009239497906243,56
2010,third,0.8714200665530719,56
2011,third,0.3636707853254883,56
2012,third,2.1507231829496054,56
2013,third,1.5442039717407148,56
2014,third,1.6681615595027255,56
2015,third,2.8214780579482173,56
2016,third,16.896292048703888,56
2017,third,6.608626803525998,56
1986,adult,34.666994813563285,56
1987,adult,14.047128472103035,56
1988,adult,5.011194262201388,56
1989,adult,3.5340725235757713,56
1990,adult,29.531970842942187,56
1991,adult,2.285989767379901,56
1992,adult,1.9287417893389007,56
1993,adult,0.5231978500021606,56
1994,adult,0.17724896913376795,56
1995,adult,0.5619386254589691,56
