name,stage,time,middle,lower16,upper84
n_pred,4,26,2.757145190926927,2.560783928947395,2.9436976916724573
n_pred,4,27,2.6995823493236726,2.4938090269417756,2.8923742824218612
n_pred,4,28,2.684478931436898,2.4705398262071507,2.879548780700622
n_pred,4,29,2.68603176334119,2.4653813865146765,2.894764196259855
n_pred,4,30,2.667166071939976,2.4441252928965778,2.8788385989899634
n_pred,4,31,2.6237340647418907,2.389389236984798,2.8390571217402076
n_pred,4,32,2.604011251020842,2.3597053177468283,2.8211518222960716
N_tot,NA,1,189.1574214995945,149.3911758480364,236.79494935393305
N_tot,NA,2,207.79833111695422,167.5223045308763,259.38353989641024
N_tot,NA,3,193.29376201753118,158.09406849337915,237.3522639978691
N_tot,NA,4,154.54537684606427,129.83894540334651,185.5146357205264
N_tot,NA,5,165.02411851042845,140.56008746344116,193.3681504830546
N_tot,NA,6,177.96951364074914,150.84510778786486,211.1570485509916
N_tot,NA,7,174.93027680081758,149.4407367178569,206.2492704979008
N_tot,NA,8,154.69203520730738,134.26286653521888,178.5691814678423
N_tot,NA,9,152.35861718877396,133.69142972000904,172.88298369892442
N_tot,NA,10,157.8864438194475,138.37595838287046,181.45112900246315
N_tot,NA,11,157.5871850213585,138.52368673213027,180.47022453761377
N_tot,NA,12,146.43309330858955,129.8634490970122,165.65421392208643
N_tot,NA,13,141.41714626514744,126.66667314079515,158.5597320245199
N_tot,NA,14,142.76715377138436,127.5396474368433,161.17586069192706
N_tot,NA,15,142.57900526693362,127.30480008242662,161.23060520060338
N_tot,NA,16,135.75528678385842,121.96450636368661,152.60535039499052
N_tot,NA,17,131.05709008216422,117.4430394156702,146.74614951398223
N_tot,NA,18,130.37216219513152,116.5650804149775,146.31570033156146
N_tot,NA,19,129.83780976307548,115.40566153048627,146.19587893940079
N_tot,NA,20,125.28873763502258,111.15396389116906,141.33588192048623
N_tot,NA,21,121.06683139845128,107.04731640865356,136.6758431382654
N_tot,NA,22,119.61944384423748,105.0564680172042,135.46096248633708
N_tot,NA,23,118.49469683643852,103.6980840933827,135.25895197155097
N_tot,NA,24,115.28558237681827,100.06240149368745,132.07595394181158
N_tot,NA,25,111.79585028489308,96.4085667575244,129.00974369292405
N_tot,NA,26,109.84679009839432,94.0748137685415,127.86560961220088
N_tot,NA,27,108.36446170925885,92.25786968956537,127.26770501188449
N_tot,NA,28,105.69923076458346,89.49034654340281,125.00301300595632
N_tot,NA,29,102.67160453910407,86.20329128694587,122.65339494868712
N_tot,NA,30,100.78905001944489,83.81875141734818,121.22195230224466
N_tot,NA,31,99.16467510985728,81.77995203666445,120.32738631936502
N_tot,NA,32,96.86157117767372,79.35764127017599,118.70632925449053
rho_scale,NA,NA,2.15728394130836,1.742622774922929,2.6830858407322173
lambda,NA,1,1.0925475324994358,0.9966709579525587,1.2221181987555265
lambda,NA,2,0.9316889825476761,0.8510421462613978,1.0192496757305947
lambda,NA,3,0.8113690757089627,0.71102336012408,0.9060486431185819
lambda,NA,4,1.0607909382718606,0.9408438713595139,1.1976921716556521
