year,name,lower16,middle,upper84,type
1998,e_s32,0.18630573301677486,0.20981041271500928,0.22642663802755808,elasticity
1998,e_s43,0.18630573301677492,0.20981041271500928,0.22642663802755827,elasticity
1998,e_s44,0.09759906714151058,0.1607583491399628,0.2637050494322484,elasticity
1998,lambda,0.7292418981298983,0.8040342202347703,0.8753932958184762,lambda
1998,s_rec,0.13336945900270947,0.19034704593503982,0.27986836934407633,sensitivity
1998,s_s21,0.14173826984150933,0.16446897399650157,0.1884714082757347,sensitivity
1998,s_s32,0.18668794361378904,0.22313372140463528,0.2779563433465994,sensitivity
1998,s_s43,0.3659315069133536,0.45750544495028583,0.5920967525024083,sensitivity
1998,s_s44,0.3231993003561329,0.3705687618549722,0.44777878707418617,sensitivity
1999,e_rec,0.18908016534364053,0.2099845746147927,0.2269954744382708,elasticity
1999,e_s21,0.1890801653436408,0.20998457461479286,0.22699547443827067,elasticity
1999,e_s32,0.18908016534364078,0.20998457461479286,0.22699547443827073,elasticity
1999,e_s43,0.18908016534364083,0.20998457461479259,0.22699547443827064,elasticity
1999,e_s44,0.09457946850358365,0.16006170154082927,0.2521087483079075,elasticity
1999,lambda,0.748764860229017,0.8145008354419548,0.8861312601502171,lambda
1999,s_rec,0.1304669123367783,0.17915676020560928,0.25518465495782017,sensitivity
1999,s_s21,0.1444904734996559,0.16831407214375202,0.19382779334216835,sensitivity
1999,s_s32,0.19041230322680378,0.2291841541281633,0.280141399993541,sensitivity
1999,s_s43,0.37820159972390255,0.46717524398093,0.6020684858627052,sensitivity
1999,s_s44,0.32093460137768776,0.3700462761556219,0.4390815612309307,sensitivity
2000,e_rec,0.19355957084106235,0.21376324485881149,0.22930009046655528,elasticity
2000,e_s21,0.19355957084106196,0.21376324485881137,0.22930009046655525,elasticity
2000,e_s32,0.193559570841062,0.2137632448588113,0.22930009046655536,elasticity
2000,e_s43,0.19355957084106207,0.2137632448588112,0.22930009046655536,elasticity
2000,e_s44,0.08599948611049553,0.1449470205647544,0.23314205017895578,elasticity
