year,stage,count,sim
2016,second,98.36166832207698,18
2017,second,29.91667842518787,18
1986,third,20.77078312241179,18
1987,third,20.1009024143853,18
1988,third,47.71950536229287,18
1989,third,36.27585078593346,18
1990,third,10.756439462161783,18
1991,third,20.050360810682648,18
1992,third,75.42940077195857,18
1993,third,230.53035218036507,18
1994,third,118.35090368951094,18
1995,third,224.17110392247693,18
1996,third,81.19772500301825,18
1997,third,231.15717888152946,18
1998,third,207.18461834626976,18
1999,third,12.800333829234745,18
2000,third,25.560224896693587,18
2001,third,41.227958567660274,18
2002,third,54.632228034154295,18
2003,third,29.01987963155359,18
2004,third,7.42567784934387,18
2005,third,6.384313530657798,18
2006,third,18.151329631158497,18
2007,third,9.391150486428192,18
2008,third,21.23443282281827,18
2009,third,21.328612932543244,18
2010,third,10.264251648138798,18
2011,third,60.90609190219913,18
2012,third,30.205131269832886,18
2013,third,3.47490986945866,18
2014,third,41.00813411227501,18
2015,third,63.49938578603365,18
2016,third,38.316819736020875,18
2017,third,17.16787568139558,18
1986,adult,95.9410984542249,18
1987,adult,108.53860027817029,18
1988,adult,37.6738849875046,18
1989,adult,26.42153675635896,18
1990,adult,43.464876664687516,18
1991,adult,29.364431166048544,18
1992,adult,10.971548203153086,18
1993,adult,6.5382605511913585,18
1994,adult,12.083495890148843,18
1995,adult,30.962585429191073,18
1996,adult,4.024438143005666,18
1997,adult,43.527319298100274,18
1998,adult,6.076250795826209,18
1999,adult,24.565362195877103,18
2000,adult,20.342742215171768,18
2001,adult,6.137839761059434,18
2002,adult,3.627506131098934,18
2003,adult,5.233042606170733,18
2004,adult,32.0226626914286,18
2005,adult,7.28612880722154,18
2006,adult,7.4166754668831425,18
2007,adult,3.0841927313643804,18
2008,adult,6.481192648553288,18
2009,adult,38.20943573359555,18
2010,adult,33.94051796842882,18
2011,adult,34.48991778014355,18
2012,adult,40.62356893405519,18
2013,adult,58.34170326587636,18
2014,adult,13.009301025539193,18
2015,adult,14.460189011756901,18
2016,adult,72.38248680574983,18
2017,adult,48.82228253893419,18
1986,first,92.84297662763328,19
1987,first,49.28623095489,19
1988,first,14.881496875586027,19
1989,first,85.98282649051188,19
1990,first,103.1682731659528,19
1991,first,38.69370910357061,19
1992,first,148.84921866161872,19
1993,first,47.342293512354395,19
1994,first,133.01541663069813,19
1995,first,176.9061698705004,19
1996,first,188.91354059671815,19
1997,first,95.89689230606353,19
1998,first,26.039325545564797,19
1999,first,9.667756239140695,19
2000,first,29.50125224034789,19
2001,first,30.025934019401248,19
2002,first,19.369656484161684,19
2003,first,19.39709852912552,19
2004,first,10.087814511203485,19
2005,first,17.603617632478738,19
2006,first,26.367508113575596,19
2007,first,18.224071262335613,19
2008,first,14.572902352510305,19
2009,first,38.3706945225058,19
2010,first,34.38802175579273,19
2011,first,8.80829660622726,19
2012,first,29.467011382068314,19
2013,first,73.65719534702112,19
2014,first,113.68850839883639,19
2015,first,51.15401938416113,19
2016,first,52.239677279803665,19
2017,first,62.001152280105,19
1986,second,50.51418180549936,19
1987,second,100.68748292307721,19
1988,second,40.79358769063175,19
1989,second,34.027532155768604,19
1990,second,28.128700573177568,19
1991,second,48.08378381249508,19
1992,second,204.20339366000997,19
1993,second,214.2019361247608,19
1994,second,103.11335836932233,19
1995,second,177.59189656705598,19
1996,second,69.27548436753192,19
1997,second,87.84159410318192,19
1998,second,29.953732263499685,19
1999,second,131.69696370857224,19
2000,second,105.69330490203342,19
2001,second,30.04235660098483,19
2002,second,48.45108553011112,19
2003,second,11.488642767513797,19
2004,second,14.997819293122511,19
2005,second,26.207043762722716,19
2006,second,16.555591100419036,19
2007,second,52.395409045002644,19
2008,second,22.954264505017626,19
2009,second,63.4240399044424,19
2010,second,51.667383002412464,19
2011,second,37.52150103815547,19
2012,second,54.886671248995384,19
2013,second,15.23010357199268,19
2014,second,55.592355471405426,19
2015,second,15.413300317750583,19
2016,second,59.79608295192388,19
2017,second,41.533583331799896,19
1986,third,28.61506779917803,19
1987,third,24.898125620808457,19
1988,third,27.014239246429735,19
1989,third,54.63250847773971,19
1990,third,12.534593552405035,19
1991,third,10.286226810162317,19
1992,third,218.3143092557173,19
1993,third,77.85103880847878,19
1994,third,21.508935589649365,19
1995,third,102.33231146330273,19
1996,third,57.36108088917792,19
1997,third,204.33801368052494,19
1998,third,67.29115362563883,19
1999,third,24.92551958459645,19
2000,third,54.04694700942371,19
2001,third,17.682978945572128,19
2002,third,22.541253003952484,19
2003,third,28.953015502976807,19
2004,third,23.46736056385577,19
2005,third,55.489396636443196,19
2006,third,15.556576657487227,19
2007,third,15.86420747083163,19
2008,third,106.09422799320578,19
2009,third,18.892881921609014,19
2010,third,17.179882298294483,19
2011,third,30.152139263020075,19
2012,third,20.107572393867716,19
